block,method,test_arl0,cal_arl0,target
layer1,CUSUM,inf,363.69227345245673,370.0
layer1,CUSUM-R,inf,358.8759145173329,370.0
layer1,EWMA,385.42469631936694,356.59950775055165,370.0
layer1,Frechet,inf,367.4431203918663,370.0
layer1,HDDDM,453.9807706626707,362.25077366723724,370.0
layer1,KL-Gauss,inf,362.4019420384542,370.0
layer1,KL-Hist,565.2692916381864,367.22655854487795,370.0
layer1,KSWIN,393.2309291042292,365.96299676633623,370.0
layer1,MMD,474.18810572867113,361.4676788836189,370.0
layer1,PSI,555.1773178120127,370.13478243427664,370.0
layer1,SPE,inf,361.6313277632314,370.0
layer1,T2,573.9361506100039,375.3889390283441,370.0
layer2,CUSUM,inf,369.4721652816563,370.0
layer2,CUSUM-R,inf,365.9225893503437,370.0
layer2,EWMA,416.42246763040885,371.16988779596375,370.0
layer2,Frechet,334.6688548766177,365.2736525005242,370.0
layer2,HDDDM,418.5998100566101,366.2695101308066,370.0
layer2,KL-Gauss,682.1058265456625,371.1452943138246,370.0
layer2,KL-Hist,409.52891703198765,368.34173609511316,370.0
layer2,KSWIN,546.7411120334774,371.07885899451037,370.0
layer2,MMD,433.6962625255745,365.6188753481885,370.0
layer2,PSI,439.88193040293044,359.9838150899823,370.0
layer2,SPE,606.3571432391138,364.6505443073707,370.0
layer2,T2,396.0909731723385,364.3904761220714,370.0
layer3,CUSUM,inf,375.9276771914172,370.0
layer3,CUSUM-R,inf,361.4524073031951,370.0
layer3,EWMA,429.9001212121213,370.6563253207788,370.0
layer3,Frechet,484.6742836614999,364.5978163993797,370.0
layer3,HDDDM,396.51527432567434,367.93637401378516,370.0
layer3,KL-Gauss,inf,364.00889620724234,370.0
layer3,KL-Hist,462.1297281385282,374.63575753524583,370.0
layer3,KSWIN,437.60435883765365,365.6769072984165,370.0
layer3,MMD,575.2021377446083,377.63336560872875,370.0
layer3,PSI,442.10110269730274,364.360638613394,370.0
layer3,SPE,832.3129467751966,374.8666258147546,370.0
layer3,T2,417.73412444222447,375.0990246138589,370.0
layer4,CUSUM,inf,372.43395379630795,370.0
layer4,CUSUM-R,inf,356.2053847981747,370.0
layer4,EWMA,446.34201789778854,363.9109623879625,370.0
layer4,Frechet,433.6296023665385,372.0189310092199,370.0
layer4,HDDDM,386.0578948541655,362.0632488569952,370.0
layer4,KL-Gauss,508.70653251606825,370.81719105090315,370.0
layer4,KL-Hist,459.28480086580095,373.6904138655933,370.0
layer4,KSWIN,425.6372694129401,364.3355580775801,370.0
layer4,MMD,inf,363.2988791352799,370.0
layer4,PSI,459.8842552780553,366.9768395525813,370.0
layer4,SPE,605.4085210574373,363.35657084492027,370.0
layer4,T2,415.0246611908559,370.8702682515676,370.0
pixel,VAE,inf,366.630127183787,370.0
vae_latent,CUSUM,inf,371.76074289529623,370.0
vae_latent,CUSUM-R,inf,361.5591533508385,370.0
vae_latent,EWMA,508.6087249025485,368.11072004481423,370.0
vae_latent,Frechet,inf,368.367468746238,370.0
vae_latent,HDDDM,386.5277584082584,374.6146183378714,370.0
vae_latent,KL-Gauss,inf,364.2682784762332,370.0
vae_latent,KL-Hist,462.38975637695637,372.06187423607804,370.0
vae_latent,KSWIN,380.19997263953803,361.78677372000504,370.0
vae_latent,MMD,468.61076467417007,364.8422274575055,370.0
vae_latent,PSI,465.2346836496837,361.9786757318838,370.0
vae_latent,SPE,inf,365.1830086550559,370.0
vae_latent,T2,559.9479877833985,373.1499539035272,370.0
