block,method,events,time_w,arl0_hat,arl0_lo,arl0_hi
layer1,CUSUM,68929,221980.40000000002,3.220421012926345,3.196467990723184,3.2445982886575506
layer1,CUSUM-R,947,221980.40000000002,234.4038014783527,219.93761476630308,250.0798803874251
layer1,EWMA,744,221980.40000000002,298.36075268817206,277.67078284637745,321.01627143450247
layer1,Frechet,828,221980.40000000002,268.09227053140097,250.43675498469443,287.33277297368164
layer1,HDDDM,656,221980.40000000002,338.384756097561,313.4527610941427,365.84897783546916
layer1,KL-Gauss,868,221980.40000000002,255.7377880184332,239.27556300273463,273.6415205957553
layer1,KL-Hist,542,221980.40000000002,409.55793357933584,376.4859122523311,446.34903678285474
layer1,KSWIN,630,221980.40000000002,352.3498412698413,325.8791750680626,381.5675016770647
layer1,MMD,780,221980.40000000002,284.5902564102564,265.2999542723397,305.6678552913039
layer1,PSI,559,221980.40000000002,397.1026833631485,365.5075440803554,432.1926112036696
layer1,SPE,945,221980.40000000002,234.8998941798942,220.38824372462759,250.62659068758734
layer1,T2,714,221980.40000000002,310.89691876750703,288.90567233641883,335.0234252895681
layer2,CUSUM,105792,221980.40000000002,2.098272081064731,2.0856656388754686,2.110973680218667
layer2,CUSUM-R,1588,221980.40000000002,139.7861460957179,133.07607845693437,146.92443329931288
layer2,EWMA,681,221980.40000000002,325.96240822320124,302.3740431027624,351.8993731698642
layer2,Frechet,829,221980.40000000002,267.76887816646564,250.14493963073477,286.9739603676214
layer2,HDDDM,619,221980.40000000002,358.6113085621971,331.4412395890576,388.62753331722126
layer2,KL-Gauss,827,221980.40000000002,268.4164449818622,250.72925780433366,287.6924763020986
layer2,KL-Hist,608,221980.40000000002,365.0993421052632,337.1984344268099,395.9510291124839
layer2,KSWIN,651,221980.40000000002,340.98371735791096,315.7676093567911,368.7713527556779
layer2,MMD,770,221980.40000000002,288.2862337662338,268.6233625606843,309.78340511153317
layer2,PSI,630,221980.40000000002,352.3498412698413,325.8791750680626,381.5675016770647
layer2,SPE,727,221980.40000000002,305.33755158184323,283.92652091913124,328.8077060141224
layer2,T2,705,221980.40000000002,314.8658156028369,292.45731158074346,339.4647879293453
layer3,CUSUM,44671,221980.40000000002,4.969228358442838,4.92335746427787,5.015633496677373
layer3,CUSUM-R,784,221980.40000000002,283.1382653061225,263.9937013926196,304.05182873547676
layer3,EWMA,596,221980.40000000002,372.45033557046986,343.7139216186391,404.25837383260904
layer3,Frechet,612,221980.40000000002,362.7130718954249,335.08168480418027,393.2565364482499
layer3,HDDDM,633,221980.40000000002,350.6799368088468,324.3948094695802,379.6859123525779
layer3,KL-Gauss,687,221980.40000000002,323.11557496360996,299.831752580364,348.70689792816506
layer3,KL-Hist,627,221980.40000000002,354.03572567783095,327.3773218180421,383.4676480483903
layer3,KSWIN,626,221980.40000000002,354.6012779552716,327.87979993274746,384.10520125293266
layer3,MMD,601,221980.40000000002,369.3517470881864,340.9684765217522,400.7554047117293
layer3,PSI,611,221980.40000000002,363.3067103109657,335.6083521455185,393.9267497823051
layer3,SPE,1170,221980.40000000002,189.72683760683762,179.15923033398587,201.08540664291667
layer3,T2,623,221980.40000000002,356.30882825040135,329.3966236028798,386.030518315239
layer4,CUSUM,80406,221980.40000000002,2.7607442230679307,2.7417269086799796,2.7799263121703004
layer4,CUSUM-R,1526,221980.40000000002,145.46553079947577,138.34589202526396,153.0490427958216
layer4,EWMA,901,221980.40000000002,246.37114317425085,230.79550305649022,263.28408362006513
layer4,Frechet,852,221980.40000000002,260.5403755868545,243.61747733423954,278.95974099167194
layer4,HDDDM,627,221980.40000000002,354.03572567783095,327.3773218180421,383.4676480483903
layer4,KL-Gauss,986,221980.40000000002,225.1322515212982,211.5072121828674,239.87289289138934
layer4,KL-Hist,575,221980.40000000002,386.0528695652174,355.7497884812374,419.6576547791867
layer4,KSWIN,656,221980.40000000002,338.384756097561,313.4527610941427,365.84897783546916
layer4,MMD,774,221980.40000000002,286.7963824289406,267.28396968578573,308.12407415381153
layer4,PSI,601,221980.40000000002,369.3517470881864,340.9684765217522,400.7554047117293
layer4,SPE,917,221980.40000000002,242.0724100327154,226.89833004448707,258.53728475023445
layer4,T2,886,221980.40000000002,250.54221218961627,234.57372015908163,267.8939223370721
pixel,VAE,851,221980.40000000002,260.8465334900118,243.89412940939155,279.29894347623656
vae_latent,CUSUM,79601,221980.40000000002,2.788663459001772,2.76935726725974,2.8081377768704656
vae_latent,CUSUM-R,1060,221980.40000000002,209.41547169811324,197.17855084954095,222.61695866007054
vae_latent,EWMA,773,221980.40000000002,287.16739974126784,267.61755311177245,308.53725283368925
vae_latent,Frechet,942,221980.40000000002,235.647983014862,221.0676880071793,251.45111677233606
vae_latent,HDDDM,583,221980.40000000002,380.7554030874786,351.0656138688274,413.6562943737415
vae_latent,KL-Gauss,1056,221980.40000000002,210.20871212121213,197.90289272856768,223.48645545412418
vae_latent,KL-Hist,616,221980.40000000002,360.3577922077923,332.99160316432403,390.59811252887
vae_latent,KSWIN,714,221980.40000000002,310.89691876750703,288.90567233641883,335.0234252895681
vae_latent,MMD,660,221980.40000000002,336.33393939393943,311.6254059548426,363.54390347624775
vae_latent,PSI,622,221980.40000000002,356.8816720257235,329.90538579477123,386.6765446053064
vae_latent,SPE,1045,221980.40000000002,212.42143540669858,199.9227659683197,225.9127021411859
vae_latent,T2,789,221980.40000000002,281.3439797211661,262.37901886287784,302.05546064918997
