method,block,concept-sudden-jpeg,concept-sudden-stretch,concept-sudden-saturation,concept-incremental-jpeg,concept-incremental-stretch,concept-incremental-saturation,concept-gradual-jpeg,concept-gradual-stretch,concept-gradual-saturation,concept-recurring-jpeg,concept-recurring-stretch,concept-recurring-saturation,label-sudden,label-incremental,label-gradual,label-recurring
CUSUM,layer1,85.2±61.3,101.8±64.0,73.8±62.3,95.0±60.2,106.5±59.2,86.2±55.2,98.6±55.5,110.9±55.0,88.2±54.0,17.5±10.5,18.5±9.5,16.1±10.8,108.2±59.6,115.6±50.9,114.9±51.6,20.1±8.1
CUSUM,layer2,62.2±59.9,68.2±61.6,76.1±64.2,72.5±59.6,78.2±61.3,84.8±62.2,76.0±58.5,81.9±60.2,87.1±60.8,13.6±10.5,14.6±10.4,16.0±10.9,96.8±63.7,104.5±61.2,104.4±61.6,17.9±11.1
CUSUM,layer3,109.1±60.8,111.5±60.0,111.2±60.8,115.3±56.5,117.3±57.0,118.4±55.2,117.2±53.9,119.9±53.2,119.3±54.3,19.6±9.8,19.8±9.6,19.6±9.7,117.5±58.9,123.0±49.9,122.8±50.1,20.6±9.0
CUSUM,layer4,86.8±68.4,94.2±67.4,93.2±67.7,96.4±64.6,99.2±63.7,98.7±63.4,94.5±64.0,101.4±62.1,100.2±62.3,16.3±11.2,17.4±10.9,17.2±11.0,96.5±68.0,102.6±63.4,103.0±63.4,17.2±11.0
CUSUM,vae_latent,124.6±52.9,122.5±54.5,98.5±67.0,131.2±48.0,127.3±46.6,106.9±58.0,141.0±23.7,125.9±49.5,107.3±57.3,23.3±5.1,21.2±8.0,17.5±10.7,102.9±66.7,111.1±55.9,110.3±56.9,18.1±10.3
CUSUM-R,layer1,6.0±5.1,10.4±8.8,4.3±3.0,12.0±8.3,19.4±13.0,16.7±7.2,23.5±11.8,30.9±14.8,18.8±7.8,5.4±4.0,8.1±5.8,3.6±2.6,20.6±17.8,40.0±26.0,41.2±22.2,11.5±7.3
CUSUM-R,layer2,3.6±2.9,4.7±3.2,5.1±3.7,10.1±6.1,13.0±7.1,17.0±8.2,17.2±7.9,20.5±7.9,19.6±9.5,3.4±2.3,4.2±2.9,4.7±3.0,12.2±11.7,32.2±16.4,31.4±17.0,10.2±6.8
CUSUM-R,layer3,10.1±8.0,11.5±10.3,11.3±8.9,24.4±14.3,23.5±14.5,26.6±13.2,29.4±13.7,31.4±15.0,31.3±13.6,7.9±5.5,8.3±5.3,8.5±5.8,18.5±18.5,38.0±24.9,37.3±24.0,11.8±7.3
CUSUM-R,layer4,5.8±3.9,10.0±8.1,8.1±6.3,16.0±10.4,22.0±14.2,22.2±12.0,22.7±9.6,29.0±14.7,25.3±13.0,4.5±2.7,7.6±4.7,7.1±5.3,10.7±8.7,30.6±14.6,28.8±14.1,8.6±6.1
CUSUM-R,vae_latent,87.9±57.1,57.3±42.0,11.8±10.4,101.0±55.2,77.0±50.8,30.2±15.3,106.2±47.7,75.1±50.5,30.6±14.6,23.4±3.5,20.6±6.5,9.1±6.8,13.0±9.0,36.6±14.8,33.9±13.3,11.5±6.3
EWMA,layer1,0.5±0.1,0.6±0.1,0.4±0.1,2.2±1.1,4.2±2.0,9.5±2.4,12.2±3.1,15.7±5.6,9.0±2.9,0.4±0.1,0.6±0.1,0.4±0.1,1.5±0.9,26.9±7.7,12.0±6.0,1.6±0.7
EWMA,layer2,0.4±0.1,0.5±0.1,0.6±0.1,2.5±1.1,5.0±2.3,10.8±2.5,10.6±2.1,16.2±3.2,10.3±4.1,0.4±0.0,0.6±0.1,0.5±0.1,1.7±1.6,28.9±6.0,14.0±6.6,1.7±0.7
EWMA,layer3,0.6±0.1,0.7±0.1,0.7±0.2,9.1±4.1,6.1±2.9,13.6±3.2,17.5±3.7,16.3±5.0,14.3±5.3,0.6±0.1,0.6±0.1,0.6±0.1,0.9±0.4,19.9±7.3,9.4±4.0,0.9±0.2
EWMA,layer4,0.5±0.1,0.7±0.1,0.7±0.2,2.4±1.1,9.7±5.1,12.3±3.5,12.6±3.0,18.8±4.5,15.8±4.8,0.5±0.1,0.7±0.1,0.7±0.1,0.7±0.2,16.0±6.6,8.2±3.9,0.7±0.1
EWMA,vae_latent,123.6±48.9,51.4±49.3,1.1±1.0,143.3±28.6,66.7±48.4,15.7±7.3,129.6±45.5,62.4±39.5,17.9±9.2,24.3±2.5,18.9±6.0,1.1±0.7,2.8±2.5,29.7±10.5,16.5±8.4,2.6±1.6
Frechet,layer1,0.7±0.1,2.1±1.7,0.3±0.1,3.1±2.4,18.1±12.9,7.1±2.5,18.6±6.3,31.6±10.1,6.3±2.4,0.7±0.1,2.8±2.2,0.3±0.0,8.9±9.2,37.7±17.1,28.1±12.5,8.0±5.5
Frechet,layer2,0.4±0.1,0.7±0.1,0.5±0.2,2.8±1.3,9.3±3.6,11.0±2.9,11.0±3.0,20.4±4.4,11.2±4.5,0.4±0.0,0.7±0.1,0.5±0.1,1.7±1.6,27.5±6.8,13.7±7.2,1.8±0.7
Frechet,layer3,1.3±0.5,11.2±22.0,7.2±5.7,26.8±15.0,33.9±14.0,41.2±18.9,34.5±5.0,50.0±18.7,44.4±14.6,1.1±0.3,7.2±5.1,8.8±4.2,2.1±2.4,27.9±7.8,14.0±5.6,1.8±0.9
Frechet,layer4,0.6±0.1,1.1±0.3,0.9±0.2,4.0±1.6,19.1±10.3,21.0±6.8,16.0±4.0,29.5±9.8,23.5±4.8,0.5±0.1,1.2±0.3,0.8±0.1,0.6±0.3,16.9±6.7,9.0±4.4,0.7±0.1
Frechet,vae_latent,123.3±41.2,46.0±50.8,0.9±0.9,123.6±43.7,87.8±53.0,18.5±4.8,118.0±52.2,77.0±48.9,19.0±14.6,24.6±1.2,20.4±5.6,1.8±4.0,1.6±1.3,24.4±9.3,14.6±5.4,1.7±0.9
HDDDM,layer1,0.9±0.2,2.5±1.2,0.8±0.2,8.0±3.8,25.8±10.2,17.8±5.3,25.8±4.7,36.5±11.9,24.2±4.9,0.9±0.1,2.6±1.1,0.8±0.1,30.2±27.5,78.2±41.3,62.5±36.9,19.7±5.6
