method,block,mean_arl1,mean_det_rate
EWMA,layer1,6.1164375,1.0
EWMA,layer4,6.3130625,1.0
T2,layer1,6.433541666666668,1.0
MMD,layer2,6.451604166666667,1.0
T2,layer4,6.4996875,1.0
EWMA,layer2,6.5455625,1.0
T2,layer2,6.655833333333334,1.0
EWMA,layer3,6.988458333333334,1.0
Frechet,layer2,7.085729166666667,1.0
T2,layer3,7.1251875,1.0
MMD,layer4,8.800125,1.0
MMD,layer1,8.991979166666667,1.0
Frechet,layer4,9.0979375,1.0
KL-Gauss,layer4,9.406375,1.0
KL-Gauss,layer3,9.800145833333334,1.0
KL-Gauss,layer2,9.8715625,1.0
KSWIN,layer4,10.022437499999999,1.0
KL-Hist,layer2,10.776583333333333,0.9979166666666666
KSWIN,layer2,10.850833333333334,1.0
KL-Hist,layer1,10.872458333333332,0.9979166666666666
KL-Hist,layer4,10.883458333333333,1.0
Frechet,layer1,10.8925,0.996875
KL-Hist,layer3,11.092270833333334,1.0
KSWIN,layer3,11.119083333333332,1.0
PSI,layer4,11.181479166666666,1.0
PSI,layer1,11.182041666666667,0.996875
PSI,layer3,11.295854166666667,1.0
PSI,layer2,11.4849375,0.9979166666666666
KSWIN,layer1,11.516,0.9895833333333334
CUSUM-R,layer2,13.070124999999999,0.9947916666666666
MMD,layer3,14.775187500000001,1.0
HDDDM,layer4,15.886666666666667,0.9989583333333334
CUSUM-R,layer4,16.199833333333334,0.996875
KL-Gauss,layer1,16.8566875,0.975
CUSUM-R,layer1,17.02691666666667,0.984375
HDDDM,layer3,18.747999999999998,0.9854166666666666
Frechet,layer3,19.591,0.990625
CUSUM-R,layer3,20.61297916666667,0.9770833333333334
HDDDM,layer2,20.8766875,0.9572916666666667
HDDDM,layer1,21.082395833333333,0.9489583333333333
SPE,layer4,35.32445833333333,0.7770833333333333
T2,vae_latent,40.1654375,0.7854166666666667
Frechet,vae_latent,43.93597916666667,0.74375
EWMA,vae_latent,44.22685416666667,0.734375
CUSUM-R,vae_latent,45.327875,0.8010416666666667
SPE,layer1,46.884541666666664,0.7510416666666667
SPE,layer2,46.96729166666667,0.7270833333333333
MMD,vae_latent,47.75725,0.709375
KSWIN,vae_latent,51.53529166666667,0.6885416666666667
KL-Hist,vae_latent,52.845375000000004,0.7010416666666667
PSI,vae_latent,54.026854166666666,0.6958333333333333
SPE,vae_latent,54.77329166666667,0.6458333333333333
SPE,layer3,59.38095833333333,0.5583333333333333
HDDDM,vae_latent,63.281124999999996,0.625
VAE,pixel,64.6910625,0.5114583333333333
CUSUM,layer2,65.92497916666666,0.6020833333333333
CUSUM,layer4,77.17904166666668,0.4322916666666667
CUSUM,layer1,78.57781250000001,0.4666666666666667
KL-Gauss,vae_latent,84.60810416666666,0.36770833333333336
CUSUM,layer3,92.62416666666667,0.3104166666666667
CUSUM,vae_latent,93.10435416666667,0.26979166666666665
