extractor,seed,setup,kind,pattern,transform,severity,block,method,occurrence,delay,detected,delay_rule,seg_len,stride,ic_train_frac,ic_validation_frac,ic_test_frac,ic_windows,ic_alarms,cal_arl0
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,KSWIN,0,0.84,True,first_obs,150,1,0.5,0.25,0.25,149.02,0,336.79875
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,KL-Gauss,0,0.16,True,first_obs,150,1,0.5,0.25,0.25,149.02,0,378.9386206896551
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,KL-Hist,0,0.66,True,first_obs,150,1,0.5,0.25,0.25,149.02,1,387.6328571428572
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,HDDDM,0,0.9,True,first_obs,150,1,0.5,0.25,0.25,149.02,0,370.8034482758621
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,PSI,0,0.72,True,first_obs,150,1,0.5,0.25,0.25,149.02,1,387.6328571428572
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,T2,0,0.5,True,first_obs,150,1,0.5,0.25,0.25,149.02,1,346.76
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,Frechet,0,0.6,True,first_obs,150,1,0.5,0.25,0.25,149.02,2,334.04625
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,MMD,0,0.54,True,first_obs,150,1,0.5,0.25,0.25,149.02,2,336.79875
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,CUSUM,0,24.3,True,first_obs,150,1,0.5,0.25,0.25,149.02,0,355.4851612903226
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,EWMA,0,0.54,True,first_obs,150,1,0.5,0.25,0.25,149.02,2,370.67793103448275
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,SPE,0,2.82,True,first_obs,150,1,0.5,0.25,0.25,149.02,0,356.8806666666667
imagenet,42,concept-sudden-jpeg,concept,sudden,jpeg,1.0,layer1,CUSUM-R,0,1.92,True,first_obs,150,1,0.5,0.25,0.25,149.02,2,352.37290322580645
