kind,method,severity,arl1,det
concept,CUSUM,0.25,105.81775,0.37916666666666665
concept,CUSUM,0.5,99.59008333333334,0.4416666666666667
concept,CUSUM,1.0,89.44616666666667,0.5541666666666667
concept,CUSUM-R,0.25,18.708916666666667,1.0
concept,CUSUM-R,0.5,12.1785,1.0
concept,CUSUM-R,1.0,7.5735,1.0
concept,EWMA,0.25,2.9015833333333334,1.0
concept,EWMA,0.5,0.9540833333333334,1.0
concept,EWMA,1.0,0.5725,1.0
concept,Frechet,0.25,32.471833333333336,0.9
concept,Frechet,0.5,13.360666666666665,0.9791666666666666
concept,Frechet,1.0,2.2509166666666665,1.0
concept,HDDDM,0.25,48.150416666666665,0.875
concept,HDDDM,0.5,8.45175,1.0
concept,HDDDM,1.0,1.5069166666666667,1.0
concept,KL-Gauss,0.25,23.214916666666664,0.9625
concept,KL-Gauss,0.5,5.492166666666667,0.9958333333333333
concept,KL-Gauss,1.0,0.8041666666666666,1.0
concept,KL-Hist,0.25,21.641416666666665,0.9833333333333334
concept,KL-Hist,0.5,3.1123333333333334,1.0
concept,KL-Hist,1.0,0.8145833333333334,1.0
concept,KSWIN,0.25,11.751666666666667,0.9958333333333333
concept,KSWIN,0.5,2.289416666666667,1.0
concept,KSWIN,1.0,0.8234999999999999,1.0
concept,MMD,0.25,22.35225,0.9541666666666666
concept,MMD,0.5,7.241333333333334,1.0
concept,MMD,1.0,1.0355,1.0
concept,PSI,0.25,24.398166666666665,0.9625
concept,PSI,0.5,3.5229999999999997,1.0
concept,PSI,1.0,0.8566666666666667,1.0
concept,SPE,0.25,98.20908333333333,0.4166666666666667
concept,SPE,0.5,89.322,0.4541666666666667
concept,SPE,1.0,58.15733333333334,0.6583333333333333
concept,T2,0.25,3.39675,1.0
concept,T2,0.5,0.9895833333333334,1.0
concept,T2,1.0,0.5375,1.0
concept,VAE-latent,0.25,99.82044444444445,0.5125
concept,VAE-latent,0.5,83.32275,0.5833333333333333
concept,VAE-latent,1.0,75.09183333333333,0.6236111111111111
concept,VAE-recon,0.25,99.47666666666666,0.3833333333333333
concept,VAE-recon,0.5,99.26633333333334,0.3833333333333333
concept,VAE-recon,1.0,94.501,0.3833333333333333
label,CUSUM,0.25,121.763,0.2375
label,CUSUM,0.5,113.393,0.3
label,CUSUM,1.0,104.75699999999999,0.4
label,CUSUM-R,0.25,65.67025,0.8
label,CUSUM-R,0.5,35.3295,0.9875
label,CUSUM-R,1.0,15.514750000000001,1.0
label,EWMA,0.25,59.13375,0.8
label,EWMA,0.5,9.6975,1.0
label,EWMA,1.0,1.1815,1.0
label,Frechet,0.25,69.76599999999999,0.725
label,Frechet,0.5,27.98275,0.9625
label,Frechet,1.0,3.3215000000000003,1.0
label,HDDDM,0.25,125.29225,0.3125
label,HDDDM,0.5,94.7835,0.5875
label,HDDDM,1.0,23.99775,0.9875
label,KL-Gauss,0.25,64.48075,0.7375
label,KL-Gauss,0.5,32.802,0.9125
label,KL-Gauss,1.0,10.389750000000001,0.975
label,KL-Hist,0.25,96.92524999999999,0.625
label,KL-Hist,0.5,40.271,0.9625
label,KL-Hist,1.0,4.39325,1.0
label,KSWIN,0.25,101.14025000000001,0.5625
label,KSWIN,0.5,39.99775,0.95
label,KSWIN,1.0,5.171,1.0
label,MMD,0.25,86.613,0.6375
label,MMD,0.5,27.4375,0.95
label,MMD,1.0,2.08625,1.0
label,PSI,0.25,104.51399999999998,0.525
label,PSI,0.5,40.127750000000006,0.9375
label,PSI,1.0,4.927,1.0
label,SPE,0.25,53.44525,0.7625
label,SPE,0.5,36.304,0.875
label,SPE,1.0,26.69025,0.9
label,T2,0.25,58.5515,0.8125
label,T2,0.5,12.404250000000001,1.0
label,T2,1.0,1.1744999999999999,1.0
label,VAE-latent,0.25,86.52008333333333,0.6041666666666667
label,VAE-latent,0.5,56.00266666666666,0.8083333333333333
label,VAE-latent,1.0,23.141166666666667,0.9208333333333334
label,VAE-recon,0.25,83.98400000000001,0.75
label,VAE-recon,0.5,55.261,0.95
label,VAE-recon,1.0,16.493000000000002,1.0
