method,rmdt_train_validation_test,rmdt_two_way_v6,detection_rate_train_validation_test,detection_rate_two_way_v6,realised_aiet_train_validation_test,realised_aiet_two_way_v6,delta_rmdt_tvt_minus_two_way,delta_aiet_tvt_minus_two_way
T2,13.375937500000001,12.782191666666666,0.9570833333333333,0.960625,310.89691876750703,272.03480392156865,0.593745833333335,38.86211484593838
EWMA,14.038075000000001,13.200554166666667,0.946875,0.9566666666666667,298.36075268817206,267.446265060241,0.8375208333333344,30.914487627931067
MMD,17.355229166666668,17.0897,0.9418749999999999,0.94625,288.2862337662338,265.8447904191617,0.26552916666666704,22.441443347072095
Frechet,18.120629166666667,17.306583333333332,0.94625,0.9516666666666665,267.76887816646564,254.85694603903562,0.8140458333333349,12.91193212743002
KSWIN,19.008729166666665,18.21550416666667,0.9356250000000002,0.9493750000000001,340.98371735791096,317.1148571428572,0.7932249999999961,23.868860215053758
KL-Hist,19.294029166666668,18.286154166666666,0.9393749999999998,0.9472916666666666,365.0993421052632,278.8698492462312,1.007875000000002,86.229492859032
PSI,19.834233333333334,19.400262499999997,0.938125,0.940625,363.3067103109657,286.4263225806452,0.43397083333333697,76.88038773032048
KL-Gauss,26.108574999999995,25.519670833333333,0.8685416666666667,0.868125,255.7377880184332,243.1329682365827,0.5889041666666621,12.604819781850495
HDDDM,27.974974999999993,26.390195833333337,0.903125,0.9077083333333335,354.03572567783095,330.32797619047625,1.5847791666666566,23.707749487354704
SPE,48.666108333333334,39.68102916666667,0.691875,0.7725,234.8998941798942,137.2791589363018,8.985079166666665,97.6207352435924
VAE,64.6910625,62.62166666666667,0.5114583333333333,0.5208333333333333,260.8465334900118,216.9896383186706,2.0693958333333313,43.85689517134119
