dataset,block,pattern,mechanism,severity,winner_cpv70,winner_fixed_k20,rmd_cpv70,rmd_fixed_k20,same_winner
cifar10,layer1,gradual,jpeg,0.25,EWMA,PSI,134.5,135.5,False
cifar10,layer1,gradual,jpeg,0.5,KSWIN,T2,118.05,122.1,False
cifar10,layer1,gradual,jpeg,0.75,HDDDM,EWMA,113.35,105.25,False
cifar10,layer1,gradual,jpeg,1.0,EWMA,T2,106.85,88.75,False
cifar10,layer1,gradual,ooc,0.25,HDDDM,HDDDM,180.2,252.45,True
cifar10,layer1,gradual,ooc,0.5,EWMA,KL-Gauss,209.45,233.0,False
cifar10,layer1,gradual,ooc,0.75,KSWIN,HDDDM,176.55,179.45,False
cifar10,layer1,gradual,ooc,1.0,KL-Gauss,KL-Gauss,170.65,190.5,True
cifar10,layer1,gradual,saturation,0.25,SPE,SPE,114.3,122.7,True
cifar10,layer1,gradual,saturation,0.5,SPE,SPE,78.5,92.95,True
cifar10,layer1,gradual,saturation,0.75,SPE,SPE,74.85,80.7,True
cifar10,layer1,gradual,saturation,1.0,SPE,KL-Gauss,61.05,68.1,False
cifar10,layer1,gradual,stretch,0.25,EWMA,T2,181.45,150.4,False
cifar10,layer1,gradual,stretch,0.5,HDDDM,HDDDM,125.75,109.85,True
cifar10,layer1,gradual,stretch,0.75,EWMA,T2,136.85,128.75,False
cifar10,layer1,gradual,stretch,1.0,EWMA,T2,122.8,110.95,False
cifar10,layer1,incremental,jpeg,0.25,T2,MMD,42.4,41.15,False
cifar10,layer1,incremental,jpeg,0.5,T2,T2,38.8,41.55,True
cifar10,layer1,incremental,jpeg,0.75,T2,MMD,35.95,39.4,False
cifar10,layer1,incremental,jpeg,1.0,T2,T2,35.05,36.4,True
cifar10,layer1,incremental,ooc,0.25,KL-Hist,PSI,226.0,247.95,False
cifar10,layer1,incremental,ooc,0.5,EWMA,EWMA,208.45,199.2,True
cifar10,layer1,incremental,ooc,0.75,KL-Gauss,KL-Gauss,201.9,201.85,True
cifar10,layer1,incremental,ooc,1.0,KL-Gauss,T2,160.55,152.3,False
cifar10,layer1,incremental,saturation,0.25,SPE,KL-Gauss,112.0,121.2,False
cifar10,layer1,incremental,saturation,0.5,SPE,KL-Gauss,81.4,96.1,False
cifar10,layer1,incremental,saturation,0.75,SPE,Frechet,72.5,80.35,False
cifar10,layer1,incremental,saturation,1.0,MMD,Frechet,66.25,68.6,False
cifar10,layer1,incremental,stretch,0.25,EWMA,EWMA,98.95,86.85,True
cifar10,layer1,incremental,stretch,0.5,EWMA,T2,79.7,70.5,False
cifar10,layer1,incremental,stretch,0.75,T2,EWMA,67.2,59.55,False
cifar10,layer1,incremental,stretch,1.0,T2,T2,59.65,50.9,True
cifar10,layer1,sudden,jpeg,0.25,T2,T2,24.4,25.65,True
cifar10,layer1,sudden,jpeg,0.5,T2,T2,22.25,21.1,True
cifar10,layer1,sudden,jpeg,0.75,T2,T2,20.2,17.95,True
cifar10,layer1,sudden,jpeg,1.0,T2,T2,17.7,14.3,True
cifar10,layer1,sudden,ooc,0.25,SPE,EWMA,243.05,207.85,False
cifar10,layer1,sudden,ooc,0.5,T2,EWMA,105.1,98.35,False
cifar10,layer1,sudden,ooc,0.75,T2,T2,55.35,57.2,True
cifar10,layer1,sudden,ooc,1.0,T2,T2,38.55,42.15,True
cifar10,layer1,sudden,saturation,0.25,Frechet,Frechet,33.4,33.5,True
cifar10,layer1,sudden,saturation,0.5,Frechet,Frechet,16.75,16.85,True
cifar10,layer1,sudden,saturation,0.75,SPE,KL-Gauss,11.8,10.75,False
cifar10,layer1,sudden,saturation,1.0,SPE,Frechet,9.1,9.0,False
cifar10,layer1,sudden,stretch,0.25,T2,T2,36.75,34.3,True
cifar10,layer1,sudden,stretch,0.5,T2,T2,31.65,29.5,True
cifar10,layer1,sudden,stretch,0.75,T2,T2,27.75,24.85,True
cifar10,layer1,sudden,stretch,1.0,T2,T2,24.2,21.05,True
cifar10,layer2,gradual,jpeg,0.25,PSI,MMD,96.45,111.9,False
cifar10,layer2,gradual,jpeg,0.5,T2,T2,83.55,95.55,True
cifar10,layer2,gradual,jpeg,0.75,T2,T2,77.05,84.05,True
cifar10,layer2,gradual,jpeg,1.0,T2,T2,64.3,72.9,True
cifar10,layer2,gradual,ooc,0.25,MMD,MMD,219.45,199.35,True
cifar10,layer2,gradual,ooc,0.5,MMD,MMD,171.45,165.55,True
cifar10,layer2,gradual,ooc,0.75,T2,PSI,154.35,159.5,False
cifar10,layer2,gradual,ooc,1.0,KSWIN,MMD,112.75,125.2,False
cifar10,layer2,gradual,saturation,0.25,MMD,MMD,143.4,135.8,True
cifar10,layer2,gradual,saturation,0.5,T2,KL-Gauss,111.3,109.1,False
cifar10,layer2,gradual,saturation,0.75,KSWIN,MMD,86.85,92.75,False
cifar10,layer2,gradual,saturation,1.0,T2,T2,82.85,83.8,True
cifar10,layer2,gradual,stretch,0.25,T2,KL-Hist,144.1,140.75,False
cifar10,layer2,gradual,stretch,0.5,KSWIN,T2,105.8,114.2,False
cifar10,layer2,gradual,stretch,0.75,KSWIN,KSWIN,97.9,114.2,True
cifar10,layer2,gradual,stretch,1.0,T2,T2,93.55,96.15,True
cifar10,layer2,incremental,jpeg,0.25,T2,MMD,34.45,44.95,False
cifar10,layer2,incremental,jpeg,0.5,T2,MMD,29.75,40.85,False
cifar10,layer2,incremental,jpeg,0.75,T2,MMD,29.35,38.35,False
cifar10,layer2,incremental,jpeg,1.0,T2,MMD,27.5,34.75,False
cifar10,layer2,incremental,ooc,0.25,KL-Hist,MMD,180.15,222.7,False
cifar10,layer2,incremental,ooc,0.5,MMD,MMD,145.7,139.1,True
cifar10,layer2,incremental,ooc,0.75,KSWIN,MMD,154.5,160.45,False
cifar10,layer2,incremental,ooc,1.0,T2,MMD,132.05,119.8,False
cifar10,layer2,incremental,saturation,0.25,PSI,MMD,145.85,140.2,False
cifar10,layer2,incremental,saturation,0.5,MMD,T2,100.4,96.2,False
cifar10,layer2,incremental,saturation,0.75,T2,T2,77.25,85.1,True
cifar10,layer2,incremental,saturation,1.0,T2,MMD,67.2,75.45,False
cifar10,layer2,incremental,stretch,0.25,T2,T2,85.2,84.05,True
cifar10,layer2,incremental,stretch,0.5,T2,T2,60.1,74.8,True
cifar10,layer2,incremental,stretch,0.75,T2,T2,50.6,59.25,True
cifar10,layer2,incremental,stretch,1.0,T2,T2,49.8,52.35,True
cifar10,layer2,sudden,jpeg,0.25,T2,MMD,20.1,23.35,False
cifar10,layer2,sudden,jpeg,0.5,T2,MMD,17.05,18.7,False
cifar10,layer2,sudden,jpeg,0.75,MMD,MMD,14.7,15.45,True
cifar10,layer2,sudden,jpeg,1.0,T2,T2,10.3,11.2,True
cifar10,layer2,sudden,ooc,0.25,KL-Hist,MMD,161.65,209.35,False
cifar10,layer2,sudden,ooc,0.5,EWMA,PSI,99.8,103.45,False
cifar10,layer2,sudden,ooc,0.75,T2,MMD,50.2,53.15,False
cifar10,layer2,sudden,ooc,1.0,T2,T2,32.65,36.0,True
cifar10,layer2,sudden,saturation,0.25,T2,T2,45.15,47.3,True
cifar10,layer2,sudden,saturation,0.5,T2,KL-Gauss,24.0,26.8,False
cifar10,layer2,sudden,saturation,0.75,T2,KL-Gauss,17.4,19.5,False
cifar10,layer2,sudden,saturation,1.0,KL-Gauss,KL-Gauss,14.25,14.85,True
cifar10,layer2,sudden,stretch,0.25,T2,T2,32.05,35.95,True
cifar10,layer2,sudden,stretch,0.5,T2,T2,24.25,23.0,True
cifar10,layer2,sudden,stretch,0.75,T2,T2,20.55,19.45,True
cifar10,layer2,sudden,stretch,1.0,T2,T2,16.05,16.4,True
cifar10,layer3,gradual,jpeg,0.25,KSWIN,KSWIN,155.05,157.65,True
cifar10,layer3,gradual,jpeg,0.5,EWMA,MMD,141.65,140.1,False
cifar10,layer3,gradual,jpeg,0.75,T2,MMD,125.25,131.1,False
cifar10,layer3,gradual,jpeg,1.0,EWMA,MMD,91.9,104.05,False
cifar10,layer3,gradual,ooc,0.25,SPE,SPE,195.7,178.45,True
cifar10,layer3,gradual,ooc,0.5,SPE,SPE,130.6,128.55,True
cifar10,layer3,gradual,ooc,0.75,SPE,SPE,94.8,108.75,True
cifar10,layer3,gradual,ooc,1.0,SPE,SPE,85.2,85.1,True
cifar10,layer3,gradual,saturation,0.25,T2,KSWIN,187.65,179.6,False
cifar10,layer3,gradual,saturation,0.5,T2,KSWIN,137.55,136.4,False
cifar10,layer3,gradual,saturation,0.75,EWMA,T2,114.25,118.15,False
cifar10,layer3,gradual,saturation,1.0,T2,KSWIN,107.05,111.25,False
cifar10,layer3,gradual,stretch,0.25,MMD,MMD,149.3,162.15,True
cifar10,layer3,gradual,stretch,0.5,MMD,EWMA,143.1,148.1,False
cifar10,layer3,gradual,stretch,0.75,T2,T2,131.7,121.1,True
cifar10,layer3,gradual,stretch,1.0,EWMA,T2,106.15,113.55,False
cifar10,layer3,incremental,jpeg,0.25,T2,EWMA,73.05,110.5,False
cifar10,layer3,incremental,jpeg,0.5,T2,EWMA,59.6,100.9,False
cifar10,layer3,incremental,jpeg,0.75,EWMA,KSWIN,51.45,85.15,False
cifar10,layer3,incremental,jpeg,1.0,T2,EWMA,51.45,75.5,False
cifar10,layer3,incremental,ooc,0.25,SPE,SPE,188.45,192.1,True
cifar10,layer3,incremental,ooc,0.5,SPE,SPE,126.75,122.2,True
cifar10,layer3,incremental,ooc,0.75,SPE,SPE,115.25,112.75,True
cifar10,layer3,incremental,ooc,1.0,SPE,SPE,88.6,87.25,True
cifar10,layer3,incremental,saturation,0.25,T2,T2,181.4,188.45,True
cifar10,layer3,incremental,saturation,0.5,T2,KSWIN,130.4,134.75,False
cifar10,layer3,incremental,saturation,0.75,EWMA,EWMA,105.65,106.05,True
cifar10,layer3,incremental,saturation,1.0,T2,T2,88.4,88.45,True
cifar10,layer3,incremental,stretch,0.25,EWMA,EWMA,105.55,114.15,True
cifar10,layer3,incremental,stretch,0.5,T2,T2,83.85,90.25,True
cifar10,layer3,incremental,stretch,0.75,T2,T2,66.75,84.75,True
cifar10,layer3,incremental,stretch,1.0,EWMA,EWMA,57.85,71.45,True
cifar10,layer3,sudden,jpeg,0.25,T2,EWMA,33.9,54.8,False
cifar10,layer3,sudden,jpeg,0.5,T2,EWMA,28.6,37.8,False
cifar10,layer3,sudden,jpeg,0.75,T2,T2,25.5,32.7,True
cifar10,layer3,sudden,jpeg,1.0,T2,T2,14.4,19.15,True
cifar10,layer3,sudden,ooc,0.25,SPE,SPE,59.0,65.35,True
cifar10,layer3,sudden,ooc,0.5,SPE,SPE,30.95,35.45,True
cifar10,layer3,sudden,ooc,0.75,SPE,SPE,20.0,19.65,True
cifar10,layer3,sudden,ooc,1.0,SPE,SPE,15.4,15.9,True
cifar10,layer3,sudden,saturation,0.25,T2,EWMA,67.9,63.8,False
cifar10,layer3,sudden,saturation,0.5,EWMA,T2,34.3,35.35,False
cifar10,layer3,sudden,saturation,0.75,T2,T2,23.35,27.3,True
cifar10,layer3,sudden,saturation,1.0,T2,T2,20.5,20.35,True
cifar10,layer3,sudden,stretch,0.25,T2,EWMA,36.25,44.25,False
cifar10,layer3,sudden,stretch,0.5,T2,T2,26.3,28.5,True
cifar10,layer3,sudden,stretch,0.75,T2,T2,22.15,24.15,True
cifar10,layer3,sudden,stretch,1.0,T2,T2,18.8,20.7,True
cifar10,layer4,gradual,jpeg,0.25,T2,T2,105.6,125.75,True
cifar10,layer4,gradual,jpeg,0.5,EWMA,T2,98.65,111.0,False
cifar10,layer4,gradual,jpeg,0.75,T2,T2,89.65,89.8,True
cifar10,layer4,gradual,jpeg,1.0,EWMA,T2,72.15,81.7,False
cifar10,layer4,gradual,ooc,0.25,SPE,SPE,113.35,119.4,True
cifar10,layer4,gradual,ooc,0.5,SPE,SPE,99.85,95.35,True
cifar10,layer4,gradual,ooc,0.75,SPE,SPE,72.5,77.75,True
cifar10,layer4,gradual,ooc,1.0,SPE,SPE,63.5,61.4,True
cifar10,layer4,gradual,saturation,0.25,KSWIN,MMD,168.8,207.15,False
cifar10,layer4,gradual,saturation,0.5,KSWIN,PSI,133.7,153.6,False
cifar10,layer4,gradual,saturation,0.75,KSWIN,T2,129.65,129.85,False
cifar10,layer4,gradual,saturation,1.0,T2,PSI,114.0,111.45,False
cifar10,layer4,gradual,stretch,0.25,EWMA,KSWIN,174.25,197.7,False
cifar10,layer4,gradual,stretch,0.5,EWMA,KSWIN,144.65,135.65,False
cifar10,layer4,gradual,stretch,0.75,T2,KSWIN,134.7,130.15,False
cifar10,layer4,gradual,stretch,1.0,EWMA,T2,114.3,114.1,False
cifar10,layer4,incremental,jpeg,0.25,EWMA,T2,36.95,46.65,False
cifar10,layer4,incremental,jpeg,0.5,T2,T2,35.3,42.0,True
cifar10,layer4,incremental,jpeg,0.75,T2,T2,33.3,39.85,True
cifar10,layer4,incremental,jpeg,1.0,T2,T2,32.1,37.5,True
cifar10,layer4,incremental,ooc,0.25,SPE,SPE,121.35,108.9,True
cifar10,layer4,incremental,ooc,0.5,SPE,SPE,86.95,94.6,True
cifar10,layer4,incremental,ooc,0.75,SPE,SPE,75.05,76.65,True
cifar10,layer4,incremental,ooc,1.0,SPE,SPE,63.7,67.3,True
cifar10,layer4,incremental,saturation,0.25,EWMA,KSWIN,191.95,222.7,False
cifar10,layer4,incremental,saturation,0.5,KSWIN,EWMA,148.75,150.8,False
cifar10,layer4,incremental,saturation,0.75,KSWIN,T2,118.05,118.1,False
cifar10,layer4,incremental,saturation,1.0,EWMA,EWMA,96.7,98.6,True
cifar10,layer4,incremental,stretch,0.25,EWMA,T2,116.6,120.95,False
cifar10,layer4,incremental,stretch,0.5,EWMA,KL-Hist,98.0,101.05,False
cifar10,layer4,incremental,stretch,0.75,EWMA,EWMA,84.1,86.1,True
cifar10,layer4,incremental,stretch,1.0,EWMA,T2,76.15,72.0,False
cifar10,layer4,sudden,jpeg,0.25,T2,T2,21.3,24.1,True
cifar10,layer4,sudden,jpeg,0.5,T2,T2,15.85,19.25,True
cifar10,layer4,sudden,jpeg,0.75,T2,T2,14.45,17.15,True
cifar10,layer4,sudden,jpeg,1.0,T2,T2,10.75,14.0,True
cifar10,layer4,sudden,ooc,0.25,SPE,SPE,30.95,28.8,True
cifar10,layer4,sudden,ooc,0.5,SPE,SPE,20.55,21.75,True
cifar10,layer4,sudden,ooc,0.75,SPE,SPE,13.5,13.75,True
cifar10,layer4,sudden,ooc,1.0,SPE,SPE,11.2,11.1,True
cifar10,layer4,sudden,saturation,0.25,T2,EWMA,100.6,125.25,False
cifar10,layer4,sudden,saturation,0.5,EWMA,EWMA,36.0,41.65,True
cifar10,layer4,sudden,saturation,0.75,T2,T2,25.05,29.1,True
cifar10,layer4,sudden,saturation,1.0,T2,T2,21.65,23.7,True
cifar10,layer4,sudden,stretch,0.25,EWMA,EWMA,54.0,60.85,True
cifar10,layer4,sudden,stretch,0.5,EWMA,EWMA,35.25,35.3,True
cifar10,layer4,sudden,stretch,0.75,T2,T2,26.9,28.95,True
cifar10,layer4,sudden,stretch,1.0,T2,T2,21.7,22.15,True
cifar10,vae_latent,gradual,jpeg,0.25,HDDDM,HDDDM,275.6,277.8,True
cifar10,vae_latent,gradual,jpeg,0.5,PSI,HDDDM,275.05,243.2,False
cifar10,vae_latent,gradual,jpeg,0.75,HDDDM,HDDDM,273.3,257.45,True
cifar10,vae_latent,gradual,jpeg,1.0,KL-Hist,PSI,274.2,266.0,False
cifar10,vae_latent,gradual,ooc,0.25,HDDDM,SPE,175.55,255.35,False
cifar10,vae_latent,gradual,ooc,0.5,SPE,Frechet,218.45,200.1,False
cifar10,vae_latent,gradual,ooc,0.75,EWMA,MMD,171.15,156.05,False
cifar10,vae_latent,gradual,ooc,1.0,KL-Gauss,Frechet,131.35,135.45,False
cifar10,vae_latent,gradual,saturation,0.25,KL-Gauss,SPE,144.55,170.3,False
cifar10,vae_latent,gradual,saturation,0.5,KL-Gauss,SPE,110.05,112.15,False
cifar10,vae_latent,gradual,saturation,0.75,KL-Gauss,Frechet,96.3,99.05,False
cifar10,vae_latent,gradual,saturation,1.0,KL-Gauss,SPE,88.1,90.5,False
cifar10,vae_latent,gradual,stretch,0.25,HDDDM,HDDDM,245.05,254.35,True
cifar10,vae_latent,gradual,stretch,0.5,HDDDM,T2,259.75,292.55,False
cifar10,vae_latent,gradual,stretch,0.75,EWMA,T2,233.1,249.7,False
cifar10,vae_latent,gradual,stretch,1.0,EWMA,MMD,221.35,234.6,False
cifar10,vae_latent,incremental,jpeg,0.25,HDDDM,HDDDM,256.4,258.85,True
cifar10,vae_latent,incremental,jpeg,0.5,HDDDM,HDDDM,205.4,247.65,True
cifar10,vae_latent,incremental,jpeg,0.75,HDDDM,HDDDM,265.2,218.5,True
cifar10,vae_latent,incremental,jpeg,1.0,HDDDM,HDDDM,197.4,256.3,True
cifar10,vae_latent,incremental,ooc,0.25,EWMA,MMD,211.2,253.95,False
cifar10,vae_latent,incremental,ooc,0.5,KL-Gauss,Frechet,170.0,200.45,False
cifar10,vae_latent,incremental,ooc,0.75,EWMA,Frechet,167.1,160.85,False
cifar10,vae_latent,incremental,ooc,1.0,KL-Gauss,T2,133.15,132.0,False
cifar10,vae_latent,incremental,saturation,0.25,KL-Gauss,SPE,150.4,167.7,False
cifar10,vae_latent,incremental,saturation,0.5,KL-Gauss,SPE,105.3,143.3,False
cifar10,vae_latent,incremental,saturation,0.75,KL-Gauss,SPE,95.3,108.85,False
cifar10,vae_latent,incremental,saturation,1.0,KL-Gauss,SPE,87.6,95.3,False
cifar10,vae_latent,incremental,stretch,0.25,HDDDM,SPE,298.05,296.8,False
cifar10,vae_latent,incremental,stretch,0.5,HDDDM,HDDDM,224.95,224.1,True
cifar10,vae_latent,incremental,stretch,0.75,PSI,PSI,231.0,202.75,True
cifar10,vae_latent,incremental,stretch,1.0,KL-Gauss,MMD,206.55,239.65,False
cifar10,vae_latent,sudden,jpeg,0.25,HDDDM,HDDDM,249.5,322.25,True
cifar10,vae_latent,sudden,jpeg,0.5,KL-Hist,HDDDM,230.1,237.5,False
